time,x,y,theta,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22,flag_sensor
1.749306290116457462e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.749306292837196350e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.749306292858902693e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141546797470944341e+00,1.000000999999999918e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000999999999918e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.001218469679146850e+00,0.000000000000000000e+00
1.749306292931535721e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141571147929967722e+00,1.000001999999999835e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000001999999999835e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.002436939358293699e+00,0.000000000000000000e+00
1.749306292965615273e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141576604590023081e+00,1.000002999999999753e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000002999999999753e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.003655409037440549e+00,0.000000000000000000e+00
1.749306293038845301e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141583776933990713e+00,1.000003999999999671e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000003999999999671e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.004873878716587399e+00,0.000000000000000000e+00
1.749306293065314293e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141543532279325035e+00,1.000004999999999589e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000004999999999589e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.006092348395734248e+00,0.000000000000000000e+00
1.749306293133764505e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141563389017997920e+00,1.000005999999999506e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000005999999999506e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.007310818074881098e+00,0.000000000000000000e+00
1.749306293187090874e+09,-5.548588855983279666e-01,-8.900381084834714518e-02,-3.065913272126336242e+00,9.901990687184098958e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.901990687184098958e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.435467246004032436e-03,0.000000000000000000e+00
1.749306293187626839e+09,-5.548588855983279666e-01,-8.900381084834714518e-02,-3.065913272126336242e+00,9.901990687184098958e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.901990687184098958e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.435467246004032436e-03,1.000000000000000000e+00
